step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
112,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
113,Optimization,,2,112,112,1.8666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
114,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
115,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
116,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
117,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
118,Optimization,,2,144,144,2.4,0,2,200,50.0,75.0,0.03333333333333333,0
119,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
120,Optimization,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
121,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
122,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
123,Optimization,,2,141,141,2.35,0,2,200,50.0,75.0,0.03333333333333333,0
124,Optimization,,2,136,136,2.2666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
125,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
126,Optimization,,2,143,143,2.3833333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
127,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
128,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
129,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
130,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
131,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
132,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
133,Optimization,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
134,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
135,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
136,Optimization,,3,275,275,4.583333333333333,0,3,300,50.0,75.0,0.05,0
137,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
138,Optimization,,2,150,150,2.5,0,2,200,50.0,75.0,0.03333333333333333,0
139,Optimization,,2,159,159,2.65,0,2,200,50.0,75.0,0.03333333333333333,0
140,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
141,Optimization,,2,120,120,2.0,0,2,200,50.0,75.0,0.03333333333333333,0
142,Optimization,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
143,Optimization,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
144,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
145,Optimization,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
146,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
147,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
148,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
149,Optimization,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
150,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
151,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
152,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
153,Optimization,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
154,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
155,Optimization,,2,150,150,2.5,0,2,200,50.0,75.0,0.03333333333333333,0
156,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
157,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
158,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
159,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
160,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
161,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
162,Optimization,,2,155,155,2.5833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
163,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
164,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
165,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
166,Optimization,,2,143,143,2.3833333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
167,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
168,Optimization,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
169,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
170,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
171,Optimization,,2,139,139,2.316666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
172,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
173,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
174,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
175,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
176,Optimization,,2,151,151,2.5166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
177,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
178,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
179,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
180,Optimization,,2,148,148,2.466666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
181,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
182,Optimization,,2,131,131,2.183333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
183,Optimization,,2,146,146,2.433333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
184,Optimization,,2,140,140,2.3333333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
185,Optimization,,2,151,151,2.5166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
186,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
187,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
188,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
189,Optimization,,2,152,152,2.533333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
190,Optimization,,2,153,153,2.55,0,2,200,50.0,75.0,0.03333333333333333,0
191,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
192,Optimization,,4,332,332,5.533333333333333,0,4,400,50.0,75.0,0.06666666666666667,0
193,Optimization,,4,351,351,5.85,0,4,400,50.0,75.0,0.06666666666666667,0
194,Optimization,,4,325,325,5.416666666666667,0,4,400,50.0,75.0,0.06666666666666667,0
195,Optimization,,4,328,328,5.466666666666667,0,4,400,50.0,75.0,0.06666666666666667,0
196,Optimization,,4,343,343,5.716666666666667,0,4,400,50.0,75.0,0.06666666666666667,0
197,Optimization,,4,333,333,5.55,0,4,400,50.0,75.0,0.06666666666666667,0
198,Optimization,,4,337,337,5.616666666666666,0,4,400,50.0,75.0,0.06666666666666667,0
199,Optimization,,4,336,336,5.6,0,4,400,50.0,75.0,0.06666666666666667,0
200,Optimization,,4,341,341,5.683333333333334,0,4,400,50.0,75.0,0.06666666666666667,0
201,Optimization,,4,351,351,5.85,0,4,400,50.0,75.0,0.06666666666666667,0
202,Optimization,,4,338,338,5.633333333333334,0,4,400,50.0,75.0,0.06666666666666667,0
203,Optimization,,4,344,344,5.733333333333333,0,4,400,50.0,75.0,0.06666666666666667,0
