step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
101,Reactive,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
102,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
103,Reactive,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
104,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
105,Reactive,,2,124,124,2.066666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
106,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
107,Reactive,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
108,Reactive,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
109,Reactive,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
110,Reactive,,2,131,131,2.183333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
111,Reactive,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
112,Reactive,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
113,Reactive,,2,112,112,1.8666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
114,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
115,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
116,Reactive,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
117,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
118,Reactive,,2,144,144,2.4,0,2,200,50.0,75.0,0.03333333333333333,0
119,Reactive,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
120,Reactive,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
121,Reactive,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
122,Reactive,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
123,Reactive,,2,141,141,2.35,0,2,200,50.0,75.0,0.03333333333333333,0
124,Reactive,,2,136,136,2.2666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
125,Reactive,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
126,Reactive,,2,143,143,2.3833333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
127,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
128,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
129,Reactive,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
130,Reactive,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
131,Reactive,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
132,Reactive,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
133,Reactive,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
134,Reactive,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
135,Reactive,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
136,Reactive,,3,275,275,4.583333333333333,0,3,300,50.0,75.0,0.05,0
137,Reactive,,3,138,138,2.3,0,3,300,50.0,75.0,0.05,0
138,Reactive,,3,150,150,2.5,0,3,300,50.0,75.0,0.05,0
139,Reactive,,3,159,159,2.65,0,3,300,50.0,75.0,0.05,0
140,Reactive,,3,134,134,2.2333333333333334,0,3,300,50.0,75.0,0.05,0
141,Reactive,,3,120,120,2.0,0,3,300,50.0,75.0,0.05,0
142,Reactive,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
143,Reactive,,3,133,133,2.216666666666667,0,3,300,50.0,75.0,0.05,0
144,Reactive,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
145,Reactive,,3,127,127,2.1166666666666667,0,3,300,50.0,75.0,0.05,0
146,Reactive,,3,125,125,2.0833333333333335,0,3,300,50.0,75.0,0.05,0
147,Reactive,,3,130,130,2.1666666666666665,0,3,300,50.0,75.0,0.05,0
